Alpha	South	Blue
Bravo	East	Yellow
Charlie	West	S.A.
Delta	North	Graphics
Echo	USA	Partner
Fox-Trot	Columbia	Performance
Golf	L.A.	Production
Hotel	Washington	Secretary
India	Texas	Software
Juliette	Chicago	Mouse
Kilo	New York	Technics
Lima	Dallas	Services
Mike	Montain	Inc.
November	Bart	Engineering
Oscar	Data	Bureautics
Papa	Beach	Clock-making
Quebec	Maxime	Animations
Romeo	Graphic	Counseling
Sierra	Cryptographic	Management
Tango	Astral	Training
Uniform	Audio	Consulting
Victor	Developing	Construction
Whisky	Business	Computing
X-Ray	Cartography	Interactive
Yankee	Center	Creations
Zoulou	Computer	Diffusing
