Alpha	Sud	Blue
Bravo	Est	Yellow
Charlie	Ouest	S.A.
Delta	Nord	Graphics
Écho	France	Partner
Fox-Trot	Bretagne	Performance
Golf	Normandie	Production
Hotel	Poitou	Secrétariat
India	Paca	Software
Juliette	Alsace	Souris
Kilo	Charentes	Technique
Lima	Var	Service
Mike	Montagne	Inc.
November	Bart	Ingenierie
Oscar	Data	Bureautique
Papa	Normandie	Horlogerie
Québec	Maxime	Animations
Roméo	Architectes	Assistance
Sierra	Association	Gestion
Tango	Astral	Formation
Uniform	Audio	Consulting
Victor	Développement	Construction
Whisky	Business	Informatique
X-Ray	Cartographie	Interactive
Yankee	Center	Créations
Zoulou	Computer	Diffusion
